OdorIdx,ListIdx,MolIdx,CAS,OdorTypeN,OdorDescriptorN
1261,3,1947,2206-94-2,22,22;394;192;201
1262,3,1956,2216-45-7,201,125;257;250;410;201;243;266;215
1263,3,1957,2216-51-5,325,325;329;147;389
1264,3,1958,2216-52-6,325,325;329;482
1265,3,1960,2216-81-1,201,30;430
1266,3,1964,2217-33-6,215,30;396;159;482;243;337;505;215
1267,3,1969,2219-82-1,289,321;394;289
1268,3,1975,2226-05-3,538,82;375;452;329;178;538
1269,3,1984,2235-83-8,201,201;483
1270,3,1990,2244-16-8,329,88;470;69
1271,3,1991,2244-16-8,257,
1272,3,1995,2253-73-8,11,336;415
1273,3,1997,2257-09-2,480,527;231;264;243
1274,3,2001,2270-60-2,201,226;533;191;201;178;482;531;180;536;215
1275,3,2007,2277-19-2,322,85;366;243;531;161;322;538
1276,3,2011,2278-53-7,215,499;215;322
1277,3,2017,2294-76-0,191,191;257;243;334;486;387
1278,3,2023,2305-05-7,215,191;482;326;215;377
1279,3,2025,2305-21-7,215,215;243;288
1280,3,2026,2305-25-1,215,396;130;251;243;482;180;539;538;236;158;470;215
1281,3,2029,2306-78-7,201,207;130;482;531;538;208
1282,3,2030,2306-88-9,215,353;140;215
1283,3,2032,2306-91-4,531,143;41;482;243;531;177;215
1284,3,2033,2306-92-5,191,531;191
1285,3,2034,2307-10-0,480,356;480;518;221;243;453;208
1286,3,2035,2308-18-1,189,189;482;243;195;536
1287,3,2039,2311-46-8,215,303;396;215;57
1288,3,2040,2311-59-3,243,353;518;243;538;215
1289,3,2048,2315-68-6,40,40;348
1290,3,2057,2344-70-9,201,202;201;482;256;328;386
1291,3,2059,2345-24-6,215,381;511;201;130;482;475;243;322;208;215;420
1292,3,2060,2345-26-8,201,30;430;201;243;482;215;377
1293,3,2062,2345-28-0,201,353;272;191;75;531;101;208
1294,3,2063,2346-00-1,480,480;518;319;348;337;51
